Year,Month,MonthCode,MaxTemperature,MinTemperature,HeatIndex,Deaths
1999,Jan,1999-01,4.6,-3.73,28.16,10
1999,Feb,1999-02,8.03,-0.73,28.76,3
1999,Mar,1999-03,10.4,0.99,28.42,7
1999,Apr,1999-04,15.84,5.8,30.38,6
1999,May,1999-05,21.22,10.43,30.26,18
1999,Jun,1999-06,25.6,15.22,32.01,77
1999,Jul,1999-07,29.4,18.65,34.04,640
1999,Aug,1999-08,29.18,17.96,33,259
1999,Sep,1999-09,24.43,12.85,30.88,24
1999,Oct,1999-10,19.29,7.59,29.15,9
1999,Nov,1999-11,14.83,4.19,27.48,6
1999,Dec,1999-12,6.46,-2.11,27.98,8
2000,Jan,2000-01,4.91,-3.42,27.64,4
2000,Feb,2000-02,9.59,0.2,28.37,6
2000,Mar,2000-03,13.42,3.46,28.98,5
2000,Apr,2000-04,17.57,6.2,29.31,5
2000,May,2000-05,23.39,11.92,31.63,41
2000,Jun,2000-06,26.53,15.37,31.71,75
2000,Jul,2000-07,29.97,18.51,33.25,158
2000,Aug,2000-08,30.62,18.58,33.68,115
2000,Sep,2000-09,25.6,13.49,31.91,71
2000,Oct,2000-10,18.94,8.44,29.49,7
2000,Nov,2000-11,7.51,-0.51,29.08,5
2000,Dec,2000-12,1.81,-6.31,29.02,2
2001,Jan,2001-01,3.04,-4.51,28.69,6
2001,Feb,2001-02,4.92,-3.72,28.96,4
2001,Mar,2001-03,9.55,0.84,28.3,5
2001,Apr,2001-04,17.31,6.67,29.55,12
2001,May,2001-05,22.86,11.77,30.12,23
2001,Jun,2001-06,26.58,15.6,31.95,65
2001,Jul,2001-07,29.72,18.99,33.72,159
2001,Aug,2001-08,30.28,19.16,32.93,230
2001,Sep,2001-09,25.29,14.21,30.57,19
2001,Oct,2001-10,18.69,7.76,28.96,7
2001,Nov,2001-11,14.1,4.48,28.17,6
2001,Dec,2001-12,5.92,-1.82,28.99,2
2002,Jan,2002-01,5.16,-2.96,28.97,6
2002,Feb,2002-02,6.46,-2.63,27.45,4
2002,Mar,2002-03,8.84,-1.07,29.41,4
2002,Apr,2002-04,16.99,6.72,30.37,16
2002,May,2002-05,20.95,9.66,30.92,22
2002,Jun,2002-06,27.56,16.34,32.41,110
2002,Jul,2002-07,30.71,19.64,33.63,284
2002,Aug,2002-08,29.15,17.92,32.78,125
2002,Sep,2002-09,25.7,14.54,31.43,30
2002,Oct,2002-10,16.19,7.21,31.07,15
2002,Nov,2002-11,10.22,1.65,29.59,4
2002,Dec,2002-12,5.63,-1.84,28.91,5
2003,Jan,2003-01,4.44,-3.62,27.28,3
2003,Feb,2003-02,4.51,-3.84,28.66,5
2003,Mar,2003-03,11.08,1.48,28.86,3
2003,Apr,2003-04,16.54,5.85,28.99,10
2003,May,2003-05,21.83,11.14,31.54,30
2003,Jun,2003-06,25.87,15.18,31.64,82
2003,Jul,2003-07,30.66,19.23,33.32,138
2003,Aug,2003-08,30.39,19.25,33.27,111
2003,Sep,2003-09,24.69,13.56,30.52,18
2003,Oct,2003-10,20.02,9.15,28.92,6
2003,Nov,2003-11,10.49,1.65,29.6,4
2003,Dec,2003-12,5.73,-2.2,28.01,3
2004,Jan,2004-01,3.03,-4.92,28.2,5
2004,Feb,2004-02,4.9,-3.41,28.2,5
2004,Mar,2004-03,13.21,3.53,28.41,5
2004,Apr,2004-04,17.14,6.43,28.83,11
2004,May,2004-05,22.59,11.47,30.91,28
2004,Jun,2004-06,25.84,15.11,31.77,52
2004,Jul,2004-07,28.89,18.19,32.79,103
2004,Aug,2004-08,27.55,16.76,32.01,59
2004,Sep,2004-09,24.99,13.95,30.72,26
2004,Oct,2004-10,18.68,9.05,30.46,7
2004,Nov,2004-11,11.2,2.97,30.17,5
2004,Dec,2004-12,5.72,-2.38,29.46,3
2005,Jan,2005-01,4.56,-3.23,28.4,4
2005,Feb,2005-02,7.08,-0.68,28.4,1
2005,Mar,2005-03,10.2,1.26,29.18,5
2005,Apr,2005-04,16.61,6.07,28.76,5
2005,May,2005-05,20.96,10.4,30.6,21
2005,Jun,2005-06,26.49,15.86,32.75,99
2005,Jul,2005-07,30.54,19.17,33.8,321
2005,Aug,2005-08,29.41,18.6,33.11,157
2005,Sep,2005-09,26.55,14.72,32.04,65
2005,Oct,2005-10,18.9,8.79,30.34,13
2005,Nov,2005-11,12.54,2.76,29.09,7
2005,Dec,2005-12,4.73,-3.1,28.35,6
2006,Jan,2006-01,8.1,-0.31,28.04,9
2006,Feb,2006-02,6.04,-3.11,28.05,2
2006,Mar,2006-03,9.85,0.75,29.35,5
2006,Apr,2006-04,18.43,7.03,30.05,13
2006,May,2006-05,22.95,11.55,31.54,41
2006,Jun,2006-06,27.82,16.35,31.96,102
2006,Jul,2006-07,31.66,19.99,34.12,447
2006,Aug,2006-08,29.64,18.33,33.42,341
2006,Sep,2006-09,24.23,13.02,30.46,18
2006,Oct,2006-10,17.41,6.98,30.32,13
2006,Nov,2006-11,11.84,2.43,28.63,9
2006,Dec,2006-12,6.75,-1.48,28.84,6
2007,Jan,2007-01,3.19,-4.32,29.42,3
2007,Feb,2007-02,3.89,-4.12,28.28,7
2007,Mar,2007-03,13.23,3.26,28.44,6
2007,Apr,2007-04,15.62,5.23,28.97,5
2007,May,2007-05,22.9,11.49,29.63,22
2007,Jun,2007-06,27.18,15.81,31.92,70
2007,Jul,2007-07,30.38,18.96,32.79,120
2007,Aug,2007-08,30.74,18.89,34.35,229
2007,Sep,2007-09,25.9,14.24,31.57,65
2007,Oct,2007-10,19.79,9.15,30.5,12
2007,Nov,2007-11,11.98,2.25,28.14,3
2007,Dec,2007-12,4.41,-3.56,29.12,4
2008,Jan,2008-01,2.79,-5.44,28.51,8
2008,Feb,2008-02,5.6,-3.57,28.89,7
2008,Mar,2008-03,10.14,0.37,28.96,8
2008,Apr,2008-04,15.86,4.73,29.5,12
2008,May,2008-05,21.09,9.72,31.36,27
2008,Jun,2008-06,26.91,15.5,32.76,162
2008,Jul,2008-07,29.88,18.42,32.97,117
2008,Aug,2008-08,28.92,17.56,32.27,109
2008,Sep,2008-09,24.96,13.66,30.63,26
2008,Oct,2008-10,18.19,7.42,29.02,10
2008,Nov,2008-11,11.45,2.45,28.26,10
2008,Dec,2008-12,4.32,-4.32,28.57,6
2009,Jan,2009-01,3.74,-5.13,28.09,5
2009,Feb,2009-02,7.15,-2.03,28.62,5
2009,Mar,2009-03,11,0.8,28.31,8
2009,Apr,2009-04,15.93,5.08,29.23,15
2009,May,2009-05,22.33,11.22,30.66,39
2009,Jun,2009-06,26.54,15.32,33.99,163
2009,Jul,2009-07,29.79,17.72,33.05,167
2009,Aug,2009-08,29.89,17.54,33.08,94
2009,Sep,2009-09,26.81,14.75,30.81,31
2009,Oct,2009-10,15.75,6.15,31.54,14
2009,Nov,2009-11,12.98,3.21,28.3,5
2009,Dec,2009-12,2.58,-5.04,30.41,9
2010,Jan,2010-01,2.82,-4.8,28.25,4
2010,Feb,2010-02,3.53,-4.2,28.29,6
2010,Mar,2010-03,11.23,1.59,27.69,6
2010,Apr,2010-04,17.43,6.27,28.74,13
2010,May,2010-05,21.2,10.39,31.84,41
2010,Jun,2010-06,27.43,16.34,34.44,154
2010,Jul,2010-07,30.35,18.88,34.11,285
2010,Aug,2010-08,30.57,18.63,34.52,211
2010,Sep,2010-09,26.27,14.03,31.95,53
2010,Oct,2010-10,20.23,8.34,28.83,10
2010,Nov,2010-11,10.97,1.06,28.87,6
2010,Dec,2010-12,4.33,-3.78,27.47,10
2011,Jan,2011-01,2.83,-5.44,27.81,7
2011,Feb,2011-02,5.12,-4.47,28.55,8
2011,Mar,2011-03,11.21,1.25,28.73,6
2011,Apr,2011-04,16.94,5.59,30.86,4
2011,May,2011-05,21.09,9.56,32.48,32
2011,Jun,2011-06,27.76,15.39,34.53,130
2011,Jul,2011-07,31.67,19.65,35.47,469
2011,Aug,2011-08,31.68,18.9,34.17,289
2011,Sep,2011-09,26.32,13.93,31.1,45
2011,Oct,2011-10,19.28,7.93,28.83,7
2011,Nov,2011-11,11.73,1.72,29.48,9
2011,Dec,2011-12,6.02,-2.11,28.72,3